"Molimo, Maro-Sorcerer",玛洛术士莫黎墨,传奇生物～ 元素,"践踏#（若此生物将造成的战斗伤害足以消灭所有阻挡它的生物，你可以使它对防御牌手造成所剩余数量的伤害。）#
玛洛术士莫黎墨的力量与防御力各等同于由你操控的地之数量。"
Reya Dawnbringer,黎明使者蕾亚,传奇生物～ 天使,"飞行#（只有具飞行或延势异能的生物才能阻挡它。）#
在你的维持开始时，你可以将目标生物牌从你的坟墓场移回场上。"
"Kamahl, Pit Fighter",死斗战士卡马尔,传奇生物～ 人类／野蛮人,"敏捷#（此生物受你操控时便能攻击与{T}。）#
{T}：死斗战士卡马尔对目标生物或牌手造成3点伤害。"
"Mirri, Cat Warrior",猫战士米丽,传奇生物～ 猫／战士,先攻，树林行者，警戒#（此生物会比不具先攻异能的生物提前造成战斗伤害；只要防御牌手操控树林，它便不能被阻挡；且此生物攻击时不需横置。）#
Arcanis the Omnipotent,全能的阿卡尼思,传奇生物～ 法术师,"{T}：抓三张牌。
{2}{U}{U}：将全能的阿卡尼思移回其拥有者手上。"
Phage the Untouchable,不可近的菲姬,传奇生物～ 奴仆,"当不可近的菲姬进场时，若你并非从你手上使用之，你输掉这盘游戏。
每当菲姬对任一生物造成战斗伤害时，消灭该生物。 它不能重生。
每当菲姬对任一牌手造成战斗伤害时，该牌手输掉这盘游戏。"
Forbidding Watchtower,险要的瞭望台,地,"险要的瞭望台须横置进场。
{T}：加{W}到你的法术力池中。
{1}{W}：直到回合结束，险要的瞭望台成为1/5白色士兵生物。 它仍然是地。"
Treetop Village,树顶村落,地,"树顶村落须横置进场。
{T}：加{G}到你的法术力池中。
{1}{G}：直到回合结束，树顶村落成为3/3绿色，具践踏异能的猿猴生物。 它仍然是地。 #（若它将造成的战斗伤害足以消灭所有阻挡它的生物，你可以使它对防御牌手造成所剩余数量的伤害。）#"
"Squee, Goblin Nabob",精灵总督斯奎,传奇生物～ 精灵,在你的维持开始时，你可以将精灵总督斯奎从你的坟墓场移回你手上。
Jayemdae Tome,神秘巨著,神器,{4}，{T}：抓一张牌。
