Reya Dawnbringer,10E,「在我答應之前，你還沒死。」
"Kamahl, Pit Fighter",10E,在自由近乎失落之時，強壯心靈將挺身奪回。
Arcanis the Omnipotent,10E,「甭費心打探我的來歷宗族或八代遠祖。 瞧瞧我在死鬥坑的戰績，就可以下賭注了。」
"Squee, Goblin Nabob",10E,"「有些鬼怪是消耗品。 有些則根本擺脫不掉。 但他兩者都是～擺脫不掉的消耗品！」
～史塔克"
Ascendant Evincar,10E,寇維克斯的靈魂深陷天使詛咒，英雄氣概淪入萬丈黑暗。
Platinum Angel,10E,心中埋藏著不朽的秘密。
Air Elemental,10E,"「東風闖入西風時令統治區，猶如背藏利刃、面容冷漠的暴君，準備要背節行刺。」
～約瑟夫‧康拉德，《如鏡的大海》"
Angel of Mercy,10E,每顆淚珠都是一滴不朽。
Angel's Feather,10E,若遭冒犯，它將劃破強奪之手。 若係饋送，它將治癒領受之手。
Snapping Drake,10E,暴躁的龍獸習於獨居。 即使是守巢孵蛋的雌性，也會忍不住攻擊親生幼雛。
Aven Windreader,10E,「甚至連最微小的水紋都透露出十噚深的故事。」
Ballista Squad,10E,對付堅實緊密的陣型之良方。
Crucible of Worlds,10E,從最暗沉的灰燼中長出最堅強的種子。
Dusk Imp,10E,小惡魔的聰明程度剛好夠理解何謂殘酷。
Bog Wraith,10E,久太深知竹沼之危險，於是佈置守護以作預警。 但他沒想到索命客竟能毫不費力地找上門來。
Boomerang,10E,早年的傑姆拉獵人發明了能回到手上的武器。 陶拉里亞乙太術士則跳過武器階段，直接發展出這類咒語。
Bottle Gnomes,10E,增援...或是點心？
Coat of Arms,10E,"「哈，二，三，四，
我們不會往下數。」"
Consume Spirit,10E,"「你的血肉，你的骨髓，你的精魂～全屬於我。」
～蓋司屬下梅瓦"
Sunken Hope,10E,"「我從不考慮對手有何期望。 期望隨著浪潮漲落。 他們只會更快撤退。」
～大使拉夸塔"
Kavu Climber,10E,"「幾根樹枝斷裂，樹葉颯颯作響，接著一聲震天狂吼。 當死亡從天而降，我們一行人毫無機會逃離。」
～妖精吟遊詩人塔欣"
Creeping Mold,10E,腐霉爬過牆垣，侵入每處縫隙，直到白淨的岩石支撐不住而爆裂。
Cruel Edict,10E,"「下一句話好好想過再說。 那會是你的遺言。」
～不可近的菲姬"
Demolish,10E,"「千錘百煉磨成鋼，
不成材？ 全毀葬。」
～矮人冶鐵歌"
Demon's Horn,10E,其彎弧好似生與死的糾結。
Demystify,10E,"「在現實無法立足者，才會尋求幻影支撐。」
～柯‧曼諾"
Diabolic Tutor,10E,最好的點子常常出自最壞的心靈。
Dragon's Claw,10E,雖已不在龍掌之上，卻似乎依然緊扣著敵手不放。
Drudge Skeletons,10E,"「死者可成為良好的士兵。 它們不會違背命令，它們從不投降，它們也不會因為身上隨便哪塊部份掉下來就停止戰鬥。」
～妮維亞洛，《死靈術士手冊》"
Elvish Berserker,10E,敵人當之披靡，宛如秋風掃落葉般。
Elvish Champion,10E,"「利刃成林
以禦蔽空之敵」
～妖精讚歌"
Elvish Piper,10E,"蓋亞肇生世界，而後世界一片沈寂。 蓋亞肇生世界中之妖精，而後世界不再沈寂。
～妖精教誨"
Llanowar Sentinel,10E,"「森林中的眼目和樹葉一樣多。」
～晴空號的米麗"
Evacuation,10E,"「一旦我讓風吹起，你會看到手下兵士如煙散去。」
～西風法師阿蕾克絲"
Festering Goblin,10E,活著的時候是個活動垃圾堆， 死後也沒啥變化。
Earth Elemental,10E,大地元素之力量如盤石，堅毅如山脈。 他們自古便立基於大地，碌碌眾生的莽撞急切在其眼中顯得可笑之至。
Wild Griffin,10E,"「由於代價太高，我只好放棄建立獅鷲騎兵中隊的夢想。 只要一匹獅鷲掙脫轡頭，就會吃掉三名訓練師。」
～奇亞多王達利安"
Highway Robber,10E,「夫人，今晚留下妳的錢，還有妳的命。」
Furnace of Rath,10E,大熔爐等待著下一位能揚起末日戰火的主子。
Giant Spider,10E,"「我在穆塔尼那邊受訓時，他要我坐下來觀察亞維馬雅的蜘蛛，一次要好幾個小時。 我從牠們身上學到了匿蹤，耐心，以及網下風龍獸的最好方法。」
～晴空號的米麗"
Glorious Anthem,10E,只要聽過一次，天使戰歌將永遠成為聆聽者的一部份。
Knight of Dusk,10E,「叫你最強的手下與我一戰。 我要用他們的血洗劍。」
Goblin King,10E,為了成為國王，奴斯吉爾對布羅格作了布羅格對烏克富、烏克富對維多、維多對洛爾，以及洛爾對奧羅克...等所作的事。
