"Molimo, Maro-Sorcerer","Molimo, maro-sorcier",Créature Légendaire — Elémental,"Piétinement
Molimo, maro-sorcier, a une force et une endurance chacune égale au nombre de terrains que vous contrôlez."
Reya Dawnbringer,Reya Aubevenant,Créature Légendaire — Ange,"Vol
Au début de votre entretien, vous pouvez renvoyer en jeu depuis votre cimetière la carte de créature ciblée."
"Kamahl, Pit Fighter","Kamahl, sangrahbaire",Créature Légendaire — Humain et Barbare,"Célérité
{T}: Kamahl, sangrahbaire inflige 3 blessures à une cible, créature ou joueur."
"Mirri, Cat Warrior","Mirri, guerrière chat",Créature Légendaire — Chat et Guerrier,"Initiative, vigilance, traversée des forêts"
Arcanis the Omnipotent,Arcanis l'Omnipotent,Créature Légendaire — Sorcier,"{T}: Piochez trois cartes.
{2}{U}{U}: Renvoyez Arcanis l'Omnipotent dans la main de son propriétaire."
Phage the Untouchable,Phage l'Intouchable,Créature Légendaire — Mignon,"Quand Phage l'Intouchable arrive en jeu, si vous ne l'avez pas jouée depuis votre main, vous perdez la partie.
A chaque fois que Phage l'Intouchable inflige des blessures de combat à une créature, détruisez cette créature. Elle ne peut pas être régénérée.
A chaque fois que Phage l'Intouchable inflige des blessures de combat à un joueur, ce joueur perd la partie."
Forbidding Watchtower,Tour de guet menaçante,Terrain,"La Tour de guet menacante arrive en jeu engagée.
{T}: Ajoutez {W} à votre réserve.
{1}{W}: La Tour de guet menaçante devient une créature 1/5 blanche soldat jusqu'à la fin du tour. C'est toujours un terrain."
Treetop Village,Village arboricole,Terrain,"Le Village arboricole arrive en jeu engagé.
{T}: Ajoutez {G} à votre réserve.
{1}{G}: Le Village arboricole devient une créature verte 3/3 avec le piétinement jusqu'à la fin du tour. Cette créature est toujours considérée comme un terrain."
"Squee, Goblin Nabob","Skwi, nabab gobelin",Créature Légendaire — Gobelin,"Au début de votre entretien, si Skwi, nabab gobelin est dans votre cimetière, vous pouvez le mettre dans votre main."
Jayemdae Tome,Grimoire de Jayemdae,Artefact,"{4}, {T}: Piochez une carte."
