"Molimo, Maro-Sorcerer","Molimo, maro-sorcier",Créature : Légende,"Piétinement
Molimo, maro-sorcier, a une force et une endurance chacune égale au nombre de terrains que vous contrôlez."
Reya Dawnbringer,Reya Aubevenant,Créature : ange légendaire,"Vol
Au début de votre entretien, vous pouvez renvoyer en jeu depuis le cimetière la carte de créature ciblée."
"Kamahl, Pit Fighter","Kamahl, sangrahbaire",Créature : barbare et légende,"Célérité
{T}: Kamahl, sangrahbaire, inflige 3 blessures à une cible, créature ou joueur."
"Mirri, Cat Warrior","Mirri, guerrière chat",Créature légendaire : chat et guerrier,"Initiative, traversée des forêts, vigilance #(Cette créature inflige des blessures de combat avant les créatures sans l’initiative, elle est imblocable tant que le joueur défenseur contrôle au moins une forêt, et attaquer avec cette créature ne la fait pas s’engager.)#"
Arcanis the Omnipotent,Arcanis l'omnipotent,Créature légendaire : sorcier,"{T} : Piochez trois cartes.
{2}{U}{U} : Renvoyez Arcanis l’omnipotent dans la main de son propriétaire."
Phage the Untouchable,Phage l'Intouchable,Créature légendaire : mignon,"Quand Phage l’Intouchable arrive en jeu, si vous ne l’avez pas jouée depuis votre main, vous perdez la partie.
À chaque fois que Phage l’Intouchable inflige des blessures de combat à une créature, détruisez cette créature. Elle ne peut pas être régénérée.
À chaque fois que Phage l’Intouchable inflige des blessures de combat à un joueur, ce joueur perd la partie."
Forbidding Watchtower,Tour de guet menaçante,Terrain,"La Tour de guet menaçante arrive en jeu engagée.
{T} : Ajoutez {W} à votre réserve.
{1}{W} : La Tour de guet menaçante devient une créature 1/5 blanche Soldat jusqu’à la fin du tour. C’est toujours un terrain."
Treetop Village,Village arboricole,Terrain,"Le Village arboricole arrive en jeu engagé.{T} : Ajoutez {G} à votre réserve.
{1}{G} : Le Village arboricole devient une créature 3/3 verte Grand singe avec le piétinement jusqu’à la fin du tour. C’est toujours un terrain. #(S’il inflige suffisamment de blessures de combat à ses bloqueurs pour les détruire, vous pouvez faire qu’il inflige le reste de ses blessures au joueur défenseur.)#"
"Squee, Goblin Nabob","Skwi, nabab gobelin",Créature légendaire : gobelin,"Au début de votre entretien, vous pouvez renvoyer Skwi, nabab gobelin depuis votre cimetière dans votre main."
Jayemdae Tome,Grimoire de Jayemdae,Artefact,"{4}, {T}: Piochez une carte."
Rhox,Rhox,Créature : bête,"Vous pouvez faire que le Rhox inflige ses blessures de combat au joueur défenseur comme s’il n’était pas bloqué.
{2}{G} : Régénérez le Rhox. #(La prochaine fois que cette créature devrait être détruite ce tour-ci, elle ne l’est pas. À la place, engagez-la, retirez-lui toutes ses blessures et retirez-la du combat.)#"
Ascendant Evincar,Incarmal en devenir,Créature légendaire : vampire,"Vol #(Cette créature ne peut être bloquée que par des créatures avec le vol ou la portée.)#
Les autres créatures noires gagnent +1/+1.
Les créatures non-noires gagnent -1/-1."
Faerie Conclave,Conseil des færies,Terrain,"Le Conseil des færies arrive en jeu engagé.
{T} : Ajoutez {U} à votre réserve.
{1}{U} : Le Conseil des færies devient une créature 2/1 bleue Peuple fée avec le vol jusqu’à la fin du tour. C’est toujours un terrain. #(Il ne peut être bloqué que par des créatures avec le vol ou la portée.)#"
Platinum Angel,Ange de platine,Créature-artefact : ange,"Vol
Vous ne pouvez pas perdre la partie et vos adversaires ne peuvent pas la gagner."
Razormane Masticore,Masticore à crinière tranchante,Créature-artefact,"Initiative
Au début de votre entretien, sacrifiez la Masticore à crinière tranchante à moins que vous ne vous défaussiez d’une carte de votre main.
Au début de votre étape de pioche, vous pouvez faire que la Masticore à crinière tranchante inflige 3 blessures à la créature ciblée."
March of the Machines,Marche des machines,Enchantement,Chaque artefact non-créature est une créature-artefact de force et d’endurance chacune égale à son coût converti de mana. #(L’équipement qui est aussi une créature ne peut pas équiper une créature.)#
Spawning Pool,Effrayante frayère,Terrain,"L’Effrayante frayère arrive en jeu engagée.
{T} : Ajoutez {B} à votre réserve.
{1}{B} : L’Effrayante frayère devient une créature 1/1 noire Squelette avec « {B} : Régénérez cette créature » jusqu’à la fin du tour. C’est toujours un terrain. #(Si elle régénère, la prochaine fois qu’elle devrait être détruite ce tour-ci, elle ne l’est pas. À la place, engagez-la, retirez-lui toutes ses blessures et retirez-la du combat.)#"
Ghitu Encampment,Campement guitûk,Terrain,"Le Campement guitûk arrive en jeu engagé.{T} : Ajoutez {R} à votre réserve.
{1}{R} : Le Campement guitûk devient une créature 2/1 rouge Guerrier avec l’initiative jusqu’à la fin du tour. C’est toujours un terrain. #(Il inflige des blessures de combat avant les créatures sans l’initiative.)#"
Mimeofacture,Ronéofabrication,Rituel,"Duplication {3}{U} #(Quand vous jouez ce sort, copiez-le pour chaque fois que vous avez payé son coût de duplication. Vous pouvez choisir de nouvelles cibles pour ces copies.)#
Choisissez un permanent ciblé contrôlé par un adversaire. Cherchez dans la bibliothèque de ce joueur une carte du même nom et mettez-la en jeu sous votre contrôle. Ce joueur mélange ensuite sa bibliothèque."
Streetbreaker Wurm,Guivre briserue,Créature : guivre,
Giant Solifuge,Solifuge géante,Créature : insecte,"#({RG} peut être payé au choix avec {R} ou {G}.)#
Piétinement, célérité
La Solifuge géante ne peut pas être la cible de sorts ou de capacités."
Sacred Mesa,Mesa sacrée,Enchantement,"Au début de votre entretien, sacrifiez la Mesa sacrée à moins que vous ne sacrifiiez un pégase.
{1}{W} : Mettez en jeu un jeton de créature 1/1 blanche Pégase avec le vol."
Valor,La Valeur,Créature : incarnation,"Initiative
Tant que La Valeur est dans votre cimetière et que vous contrôlez une plaine, les créatures que vous contrôlez ont l’initiative."
