"Molimo, Maro-Sorcerer","Molimo, Maro-Hexer",Kreatur — Legende,"Verursacht Trampelschaden
Stärke und Widerstandskraft von Molimo sind gleich der Anzahl an Ländern, die Du kontrollierst."
Reya Dawnbringer,Reya Morgenbringer,Kreatur — Engellegende,"Fliegend
Du kannst zu Beginn Deines Versorgungssegments eine Kreaturenkarte Deiner Wahl aus Deinem Friedhof ins Spiel bringen."
"Kamahl, Pit Fighter","Kamahl, der Grubenkämpfer","Kreatur — Barbar, Legende","Eile
{T}: Kamahl, der Grubenkämpfer fügt einer Kreatur oder einem Spieler deiner Wahl 3 Schadenspunkte zu."
"Mirri, Cat Warrior",Mirri die Katzenkriegerin,"Legendäre Kreatur — Katze, Krieger","Erstschlag, Waldtarnung, Wachsamkeit #(Diese Kreatur fügt Kampfschaden vor Kreaturen ohne Erstschlag zu, sie ist unblockbar, solange der verteidigende Spieler einen Wald kontrolliert, und sie wird nicht beim Angreifen getappt.)#"
Arcanis the Omnipotent,Arcanis der Allgewaltige,Legendäre Kreatur — Zauberer,"{T}: Ziehe drei Karten.
{2}{U}{U}: Bringe Arcanis den Allgewaltigen auf die Hand seines Besitzers zurück."
Phage the Untouchable,Phage die Unberührbare,Legendäre Kreatur — Diener,"Falls du Phage die Unberührbare nicht aus deiner Hand gespielt hast, wenn sie ins Spiel kommt, verlierst du das Spiel.
Immer wenn Phage einer Kreatur Kampfschaden zufügt, zerstöre diese Kreatur. Sie kann nicht regeneriert werden.
Immer wenn Phage einem Spieler Kampfschaden zufügt, verliert dieser Spieler das Spiel."
Forbidding Watchtower,Abweisender Wachturm,Land,"Der Abweisende Wachturm kommt getappt ins Spiel.{T}: Erhöhe deinen Manavorrat um {W}.
{1}{W}: Der Abweisende Wachturm wird bis zum Ende des Zuges zu einer 1/5 weißen Soldatenkreatur. Er ist immer noch ein Land."
Treetop Village,Baumwipfeldorf,Land,"Das Baumwipfeldorf kommt getappt ins Spiel.
{T}: Erhöhe deinen Manavorrat um {G}.
{1}{G}: Das Baumwipfeldorf wird bis zum Ende des Zuges zu einer 3/3 grünen Menschenaffenkreatur, die Trampelschaden verursacht. Es ist immer noch ein Land. #(Falls es seinen Blockern genug Schaden zufügen würde, um sie zu zerstören, kannst du es den Rest des Schadens dem verteidigenden Spieler zufügen lassen.)#"
"Squee, Goblin Nabob","Squee, Goblin-Nabob",Legendäre Kreatur — Goblin,"Du kannst zu Beginn deines Versorgungssegments Squee, Goblin-Nabob aus deinem Friedhof auf deine Hand zurückbringen."
Jayemdae Tome,Ketos' Zauberbuch,Artefakt,"{4}, {T}: Ziehe eine Karte."
Rhox,Rhox,Kreatur — Bestie,"Du kannst Rhox seinen Kampfschaden dem verteidigenden Spieler zufügen lassen, als ob er nicht geblockt worden wäre.
{2}{G}: Regeneriere Rhox. #(Das nächste Mal, dass diese Kreatur in diesem Zug zerstört würde, wird sie nicht zerstört. Tappe sie stattdessen, entferne allen Schaden von ihr und entferne sie aus dem Kampf.)#"
Ascendant Evincar,Aufsteigender Evincar,Legendäre Kreatur — Vampir,"Fliegend #(Diese Kreatur kann außer von fliegenden Kreaturen und Kreaturen mit Reichweite nicht geblockt werden.)#
Andere schwarze Kreaturen erhalten +1/+1.
Nichtschwarze Kreaturen erhalten -1/-1."
Faerie Conclave,Feenkonklave,Land,"Das Feenkonklave kommt getappt ins Spiel.{T}: Erhöhe deinen Manavorrat um {U}.
{2}: Das Feenkonklave wird bis zum Ende des Zuges zu einer 2/1 blauen Feenwesenkreatur mit Flugfähigkeit. Es ist immer noch ein Land. #(Es kann außer von fliegenden Kreaturen und Kreaturen mit Reichweite nicht geblockt werden.)#"
Platinum Angel,Platin-Engel,Artefaktkreatur — Engel,"Fliegend
Du kannst das Spiel nicht verlieren, und deine Gegner können das Spiel nicht gewinnen."
Razormane Masticore,Klingenmähnen-Mastikor,Artefaktkreatur,"Erstschlag
Opfere den Klingenmähnen-Mastikor zu Beginn deines Versorgungssegments, falls du nicht eine Karte aus deiner Hand abwirfst.
Du kannst zu Beginn deines Ziehsegments einer Kreatur deiner Wahl 3 Schadenspunkte durch den Klingenmähnen-Mastikor zufügen lassen."
March of the Machines,Marsch der Maschinen,Verzauberung,"Jedes Nichtkreaturartefakt ist eine Artefaktkreatur mit Stärke und Widerstandskraft jeweils gleich ihrer umgewandelten Manakosten. #(Ausrüstung, die gleichzeitig eine Kreatur ist, kann keine Kreatur ausrüsten.)#"
Spawning Pool,Dunkles Laichbecken,Land,"Das Dunkle Laichbecken kommt getappt ins Spiel.{T}: Erhöhe deinen Manavorrat um {B}.
{1}{B}: Das Dunkle Laichbecken wird bis zum Ende des Zuges zu einer 1/1 schwarzen Skelettkreatur mit „{B}: Regeneriere diese Kreatur”. Es ist immer noch ein Land. #(Wenn es regeneriert, wird es beim nächsten Mal, dass es in diesem Zug zerstört würde, nicht zerstört. Tappe es stattdessen, entferne allen Schaden von ihm und entferne es aus dem Kampf.)#"
Ghitu Encampment,Ghitulager,Land,"Das Ghitulager kommt getappt ins Spiel.{T}: Erhöhe deinen Manavorrat um {R}.
{1}{R}: Das Ghitulager wird bis zum Ende des Zuges zu einer 2/1 roten Kriegerkreatur mit Erstschlag. Es ist immer noch ein Land. #(Es fügt Kampfschaden vor Kreaturen ohne Erstschlag zu.)#"
Mimeofacture,Massennachbau,Hexerei,"Reproduktion {3}{U} #(Wenn du diesen Zauber spielst, kopiere ihn so oft, wie du seine Reproduktionskosten bezahlst. Du kannst neue Ziele für die Kopien bestimmen.)#
Bestimme eine bleibende Karte deiner Wahl, die ein Gegner kontrolliert. Durchsuche die Bibliothek dieses Spielers nach einer Karte mit demselben Namen und bringe sie unter deiner Kontrolle ins Spiel. Dieser Spieler mischt dann seine Bibliothek."
Streetbreaker Wurm,Straßenknackerwurm,Kreatur — Wurm,
Giant Solifuge,Riesige Solifuge,Kreatur — Insekt,"#({RG} kann entweder mit {R} oder mit {G} bezahlt werden.)#
Verursacht Trampelschaden, Eile
Die Riesige Solifuge kann nicht das Ziel von Zaubersprüchen oder Fähigkeiten sein."
Sacred Mesa,Heiliger Tafelberg,Verzauberung,"Opfere den Heiligen Tafelberg zu Beginn deines Versorgungssegments, falls du nicht einen Pegasus opferst.
{1}{W}: Bringe einen 1/1 weißen Pegasusspielstein mit Flugfähigkeit ins Spiel."
Valor,Die Tapferkeit,Kreatur — Inkarnation,"Erstschlag
Solange die Tapferkeit in deinem Friedhof ist und du eine Ebene kontrollierst, haben Kreaturen, die du kontrollierst, Erstschlag."
Chronatog Totem,Zeitatog-Totem,Artefakt,"{T}: Erhöhe deinen Manavorrat um {U}.
{1}{U}: Das Zeitatog-Totem wird bis zum Ende des Zuges zu einer 1/2 blauen Atog-Artefaktkreatur.
{0}: Das Zeitatog-Totem erhält +3/+3 bis zum Ende des Zuges. Du übergehst deinen nächsten Zug. Spiele diese Fähigkeit nur einmal pro Zug und nur, falls das Zeitatog-Totem eine Kreatur ist."
Dandan,Dandân,Kreatur — Fisch,"Der Dandân kann nicht angreifen, falls der verteidigende Spieler keine Insel kontrolliert.
Opfere den Dandân, wenn du keine Insel kontrollierst."
Tendrils of Corruption,Ranken des Zerfalls,Spontanzauber,"Die Ranken des Zerfalls fügen einer Kreatur deiner Wahl X Schadenspunkte zu und du erhältst X Lebenspunkte dazu, wobei X gleich der Anzahl an Sümpfen ist, die du kontrollierst."
Disintegrate,Zersetzung,Hexerei,"Zersetzung fügt einer Kreatur oder einem Spieler deiner Wahl X Schadenspunkte zu. Diese Kreatur kann in diesem Zug nicht regeneriert werden. Falls die Kreatur in diesem Zug auf den Friedhof gelegt würde, entferne sie stattdessen ganz aus dem Spiel."
Stormscape Familiar,Vertrauter des Sturmpfads,Kreatur — Vogel,"Fliegend
Weiße und schwarze Zaubersprüche, die Du spielst, kosten {1} weniger."
Sengir Autocrat,Sengirischer Autokrat,Kreatur — Mensch,"Wenn der Sengirische Autokrat ins Spiel kommt, bringe drei 0/1 schwarze Leibeigenenspielsteine ins Spiel.
Wenn der Sengirische Autokrat das Spiel verlässt, entferne alle Leibeigenenspielsteine ganz aus dem Spiel."
Celestial Dawn,Göttliches Erwachen,Verzauberung,"Alle Länder, die du kontrollierst, sind Ebenen.
Alle Karten (außer Ländern), die du besitzt und die nicht im Spiel sind sowie alle Zaubersprüche, die du kontrollierst, und alle bleibenden Karten (außer Ländern), die du kontrollierst, sind weiß.
Du kannst weißes Mana ausgeben, als wäre es Mana beliebiger Farbe. Du kannst anderes Mana nur ausgeben, als wäre es farbloses Mana."
