"Molimo, Maro-Sorcerer","Molimo, Stregone Maro",Creatura Leggendaria — Elementale,"Travolgere #(Se questa creatura sta per infliggere alle sue creature bloccanti danno da combattimento sufficiente a distruggerle, puoi farle infliggere il resto del suo danno al giocatore in difesa.)#
La forza e la costituzione di Molimo, Stregone Maro sono pari al numero di terre che controlli."
Reya Dawnbringer,Reya Dawnbringer,Creatura Leggendaria — Angelo,"Volare #(Questa creatura non può essere bloccata tranne che da creature con volare o raggiungere.)#
All’inizio del tuo mantenimento, puoi rimettere in gioco una carta creatura bersaglio dal tuo cimitero."
"Kamahl, Pit Fighter","Kamahl, Combattente dell'Arena",Creatura — Leggenda Barbara,"Rapidità
{T}: Kamahl, Combattente dell’Arena infligge 3 danni a una creatura o a un giocatore bersaglio."
"Mirri, Cat Warrior","Mirri, Gatta Guerriera",Creatura Leggendaria — Guerriero Felino,"Attacco improvviso, passa-Foreste, cautela #(Questa creatura infligge danno da combattimento prima delle creature senza attacco improvviso, non può essere bloccata fintanto che il giocatore in difesa controlla una Foresta, e attacca senza TAPpare.)#"
Arcanis the Omnipotent,Arcanis l'Onnipotente,Creatura Leggendaria — Mago,"{T}: Pesca tre carte.
{2}{U}{U}: Fai tornare Arcanis l’Onnipotente in mano al suo proprietario."
Phage the Untouchable,Phage l'Intoccabile,Creatura Leggendaria — Servitore,"Quando Phage l’Intoccabile entra in gioco, se non l’hai giocata dalla tua mano, perdi la partita.
Ogniqualvolta Phage infligge danno da combattimento a una creatura, distruggi quella creatura. Non può essere rigenerata.
Ogniqualvolta Phage infligge danno da combattimento a un giocatore, quel giocatore perde la partita."
Forbidding Watchtower,Torre di Guardia Minacciosa,Terra,"La Torre di Guardia Minacciosa entra in gioco TAPpata.
{T}: Aggiungi {W} alla tua riserva di mana.
{1}{W}: La Torre di Guardia Minacciosa diventa una creatura Soldato 1/5 bianca fino alla fine del turno. E’ ancora una terra."
Treetop Village,Villaggio Arboricolo,Terra,"Il Villaggio Arboricolo entra in gioco TAPpato.
{T}: Aggiungi {G} alla tua riserva di mana.
{1}{G}: Il Villaggio Arboricolo diventa una creatura Scimpanzé 3/3 verde con travolgere fino alla fine del turno. E’ ancora una terra. #(Se sta per infliggere alle sue creature bloccanti danno da combattimento sufficiente a distruggerle, puoi farle infliggere il resto del suo danno al giocatore in difesa.)#"
"Squee, Goblin Nabob","Squee, Nababbo Goblin",Creatura Leggendaria — Goblin,"All’inizio del tuo mantenimento, puoi riprendere in mano Squee, Nababbo Goblin dal tuo cimitero."
Jayemdae Tome,Tomo di Jayemdae,Artefatto,"{4}, {T}: Pesca una carta."
