Reya Dawnbringer,10E,私の許し無く死すことはありません。
"Kamahl, Pit Fighter",10E,自由の失われた時に、それを取り戻さんと偉大なる魂が立ち上がる。
Arcanis the Omnipotent,10E,私の出自とか、種族とか、祖先とかを気にするんじゃない。 ピットでの戦績を調べてから賭けるんだな。
"Squee, Goblin Nabob",10E,"消耗品のゴブリンもいる。 追い出せないゴブリンもいる。 でも、こいつは両方だ――しかも同時にだ！
――スターク"
Ascendant Evincar,10E,クロウヴァクスの魂は天使の呪いに絡めとられ、その捻じ曲げられた勇敢さは純粋な闇となった。
Platinum Angel,10E,その心臓には、不死の秘密が隠されている。
Streetbreaker Wurm,GPT,オルゾフには、ワームの通り道になって破壊された建物の再構築のみを仕事とする建築部隊がある。 仕事が無いときには、ゴルガリの肉術師に金を払ってワームを地上に呼び出してもらっている。
Giant Solifuge,GPT,"我々はあらゆる生命に敬意を払うが、こいつには離れたところからにしたいな。
――セレズニアのレインジャー、マンドール"
Sacred Mesa,TSB,"行ってはいけない、あそこへは。行ってはいけない。 / もしもおまえに、羽ばたく翼がないならば。地を蹴る蹄がないならば。
――「太陽に捧げる歌」 フェメレフの歌 "
Valor,TSB,"亀裂が広がり、殻が砕け、あまねく地に武勇が広まる。
――始まりの書"
Dandan,TSB,"今日は大漁。  明日は代わりの乗組員捜しだ。
――漁船の船長、フェイサル・アル＝ムーサの航海日誌"
Tendrils of Corruption,TSP,"沼ですら滋養が必要なのだ。 それを与えれば、代わりに我らにも滋養を与えてくれよう。
――暗刻教団のドルイド僧、エズリス"
Stormscape Familiar,TSB,嵐景学院の弟子は師匠の資格を得るには、それぞれフクロウを一羽育て上げ、調教しなければならない。
Sengir Autocrat,TSB,"報われない上に、死刑宣告付きだとさ。
――情け知らずのエロン"
Lord of Atlantis,TSB,戦術の大家であるアトランティスの王が到着すると、彼の配下たちはそれだけで勇敢になる。
"Akroma, Angel of Wrath",TSB,休息も 慈悲も与えぬ。 何があってもだ。
Orgg,TSB,やつは自分のデカさがわかってない。
Essence Sliver,TSB,スリヴァーたちは、たとえオタリアの他のクリーチャーたちを犠牲にしてでも生き残るだろう。
Watcher Sliver,TSP,"うろうろと見張ってるやつらを探ってたさ――でも、それが何になるんだ？  やつらが俺たちを見張るのが怖いよ。
――アムローのヨナト"
Scragnoth,TSB,奴は知性は持っていない。知性に対抗するものを持っているだけだ。
Whispers of the Muse,TSB,"彼女の歌を聞いていて、それが葬送歌だと気がついたんだよ。
――クロウヴァクス"
Foriysian Interceptor,TSP,時の裂け目の焦点となったフォライアスは、新たな敵と古い敵の両方と同時に戦っている。
Flowstone Channeler,TSP,エヴィンカーが去って、流動石はさらに荒々しく移ろいやすくなり、理性よりも必死さが勝った魔道士の力の源となった。
Pull from Eternity,TSP,"ドラゴンは孵る前に倒せ。
――フェメレフの諺"
Mana Skimmer,TSP,それはマナの乏しい荒地からより豊かな地に向けて移動していく。
Wall of Roots,TSB,賢き者はときとして、生命ある植物に魔法を織り込む。植物が育つとともに、魔法も力を増すように。
Kobold Taskmaster,TSB,そこらのコボルドにつける薬の無いことなど、監督官にはわかりきったことだ。
Auratog,TSB,オーラトグは自分の護法印まで喜んで食ってしまう。
Arcane Spyglass,DST,それが乗り越えるのは、空間の長さではなく時間の長さだ。
Witch-Maw Nephilim,GPT,それが目覚めたとき、その通り道のために丘の中腹が粉砕された。
Dune-Brood Nephilim,GPT,それが目覚めたとき、数千もの名も無きものが生まれ、訪れの先触れとなった。
Ink-Treader Nephilim,GPT,それが目覚めたとき、世界中の鏡は闇のみを映すようになった。
Yore-Tiller Nephilim,GPT,それが目覚めたとき、地蟲が風切りの音をたて、招くように声を合わせた。
Glint-Eye Nephilim,GPT,それが目覚めたとき、自らの渇望が稲妻となって次元を揺るがした。
Mizzium Transreliquat,GPT,"それが何だと？  ふむ … … お前はこれを何にしたいと思っておるのだ？
――イゼットの修繕士、ジュズバ"
Wildsize,GPT,大きさ二倍、臭いは四倍。
Gruul War Plow,GPT,"操縦装置だと？  何に使うんだ？  むしって、研いで、前に突っ込ましゃいいじゃねえか！
――グルールの鍬使い、クタンク"
Poisonbelly Ogre,GPT,ある者はそれをシミックの実験の失敗作と呼び、ある者はゴルガリの生み出したものと呼ぶ。 どちらのギルドも全面的に自分の責任とはしないものの、密かにその奇妙な毒性について研究している。
Freewind Equenaut,DIS,彼女に立ち向かえば、馬の蹄を味わうことになる。  彼女を無視すれば、矢の痛みを味わうことになる。
Psychic Possession,DIS,二人分考えてもらうからね！
Cackling Flames,DIS,"食事時には座興が望ましいな。
――ラクドス"
Mistral Charger,DIS,空を翔る馬の中には、騒がしい群れを離れて風の中を自由に飛ぶものもいる。
Flash Foliage,DIS,"この植物は多くを必要とせず、根を下ろすためのわずかな塵があれば信じられない速度で成長する。
――シミックの研究メモ"
Haazda Shield Mate,DIS,ハズダーの盾は幅広く、ギルドもそうでない者も共に守る。
Ratcatcher,DIS,オーガの毒の臭いは、地面の最も低いところにある鼻にとっては高級なカシュカヴァルのチーズのようだ。
Utvara Scalper,DIS,彼は風が運ぶところならどこでも戦争を仕掛ける。
Biomantic Mastery,DIS,"そのむこうを見よ。血管の認識に至るまで、すべての生命はさらに偉大なる知識への地図だ。
――モミール・ヴィグ「生術大全」、 第一巻"
Evil Eye of Orms-by-Gore,TSB,恐怖の街道は、敗北への最短の道。
Pillar of the Paruns,DIS,その塔は、かの十名がギルドパクトに署名したその地に立てられ、過去の記念碑であると共に、現在の権力の所有者を示す役割を担っている。
Goblin Snowman,TSB,"数の力？  その通りだとも。
――ゴブリンの戦略家、半心臓のイッブ"
Spell Snare,DIS,どの文明にも縁起の悪い数字はある。 一人でいるか、群衆の中か、さもなくば後ろから不意打ちされるかって都市に住んでいるなら、最悪の数字は二ってことになる。
Swift Silence,DIS,"世界が平和を知ることは無いかもしれぬが、私がいれば静寂を知ることぐらいはできるだろう。
――アウグスティン四世"
Dauthi Slayer,TSB,"奴らは相手の数だけナイフを持っているんです。
――サルタリーの使者、ライナ"
