"Molimo, Maro-Sorcerer",マローの魔術師モリモ,伝説のクリーチャー ―  エレメンタル,"トランプル #（このクリーチャーが、自身をブロックしているすべてのクリーチャーを破壊するのに十分な戦闘ダメージを与える場合、あなたはそれの残りのダメージを防御プレイヤーに与えてもよい。）#
マローの魔術師モリモのパワーとタフネスは、それぞれあなたがコントロールする土地の総数に等しい。"
Reya Dawnbringer,黎明をもたらす者レイヤ,伝説のクリーチャー ―  天使,"飛行 #（このクリーチャーは飛行や到達を持たないクリーチャーによってブロックされない。）#
あなたのアップキープの開始時に、あなたの墓地にあるクリーチャー・カード１枚を対象とする。あなたはそれを場に戻してもよい。"
"Kamahl, Pit Fighter",ピット・ファイター、カマール,伝説のクリーチャー ―  人間・バーバリアン,"速攻 #（このクリーチャーは、あなたのコントロール下になってすぐに攻撃したり{T}能力を使ったりできる。）#
{T}：クリーチャー１体かプレイヤー１人を対象とする。ピット・ファイター、カマールはそれに３点のダメージを与える。"
"Mirri, Cat Warrior",猫族の戦士ミリー,伝説のクリーチャー ―  猫・戦士,先制攻撃、森渡り、警戒 #（このクリーチャーは、先制攻撃を持たないクリーチャーよりも先に戦闘ダメージを与え、防御プレイヤーが森をコントロールしているかぎりブロックされず、攻撃してもタップされない。）#
Arcanis the Omnipotent,全能なる者アルカニス,伝説のクリーチャー ―  ウィザード,"{T}：カードを３枚引く。
{2}{U}{U}：全能なる者アルカニスをオーナーの手札に戻す。"
Phage the Untouchable,触れられざる者フェイジ,伝説のクリーチャー ―  ミニオン,"触れられざる者フェイジが場に出たとき、あなたがそれをあなたの手札からプレイしていなかった場合、あなたはこのゲームに敗北する。
触れられざる者フェイジがいずれかのクリーチャーに戦闘ダメージを与えるたび、そのクリーチャーを破壊する。 それは再生できない。
触れられざる者フェイジがいずれかのプレイヤーに戦闘ダメージを与えるたび、そのプレイヤーはこのゲームに敗北する。"
Forbidding Watchtower,近づきがたい監視塔,土地,"近づきがたい監視塔はタップ状態で場に出る。
{T}：あなたのマナ・プールに{W}を加える。
{1}{W}：近づきがたい監視塔は、ターン終了時まで白の１/５の兵士クリーチャーになる。 それは土地でもある。"
Treetop Village,樹上の村,土地,"樹上の村はタップ状態で場に出る。
{T}：あなたのマナ・プールに{G}を加える。
{1}{G}：ターン終了時まで、樹上の村はトランプルを持つ緑の３/３の類人猿クリーチャーになる。 それは土地でもある。 #（それが自身をブロックしているすべてのクリーチャーを破壊するのに十分な戦闘ダメージを与える場合、あなたはそれの残りのダメージを防御プレイヤーに与えてもよい。）#"
"Squee, Goblin Nabob",ゴブリンの太守スクイー,伝説のクリーチャー ―  ゴブリン,あなたのアップキープの開始時に、あなたはあなたの墓地にあるゴブリンの太守スクイーをあなたの手札に戻してもよい。
Jayemdae Tome,ジェイムデー秘本,アーティファクト,{T}：カードを１枚引く。
Rhox,ロウクス,クリーチャー ― ビースト,"あなたはロウクスの戦闘ダメージを、それがブロックされなかったかのように防御プレイヤーに与えてもよい。
{2}{G}：ロウクスを再生する。 #（このターン、次にこのクリーチャーが破壊される場合、破壊されない。 代わりに、それをタップし、それに与えられているダメージをすべて取り除き、それを戦闘から取り除く。）#"
Ascendant Evincar,隆盛なるエヴィンカー,伝説のクリーチャー ―  吸血鬼,"飛行 #（このクリーチャーは飛行や到達を持たないクリーチャーによってブロックされない。）#
他の黒のクリーチャーは＋１/＋１の修整を受ける。
黒でないクリーチャーは－１/－１の修整を受ける。"
Faerie Conclave,フェアリーの集会場,土地,"フェアリーの集会場はタップ状態で場に出る。
{T}：あなたのマナ・プールに{U}を加える。
{1}{U}：フェアリーの集会場は、ターン終了時まで飛行を持つ青の２/１のフェアリー・クリーチャーになる。 それは土地でもある。 #（それは飛行や到達を持たないクリーチャーによってブロックされない。）#"
Platinum Angel,白金の天使,アーティファクト・クリーチャー ― 天使,"飛行
あなたはこのゲームに敗北することができず、あなたの対戦相手はこのゲームに勝利することができない。"
Razormane Masticore,剃刀毛のマスティコア,アーティファクト・クリーチャー,"先制攻撃
あなたのアップキープの開始時に、あなたが手札からカードを１枚捨てないかぎり、剃刀毛のマスティコアを生け贄に捧げる。
あなたのドロー･ステップの開始時に、クリーチャー１体を対象とする。あなたは、剃刀毛のマスティコアがそれに３点のダメージを与えることを選んでもよい。"
March of the Machines,機械の行進,エンチャント,クリーチャーでない各アーティファクトは、パワーとタフネスがそれぞれ、それの点数で見たマナ・コストに等しいアーティファクト・クリーチャーである。 #（クリーチャーである装備品はクリーチャーに装備できない。）#
Spawning Pool,産卵池,土地,"産卵池はタップ状態で場に出る。
{T}：あなたのマナ・プールに{B}を加える。
{1}{B}：ターン終了時まで、産卵池は「{B}：このクリーチャーを再生する。」を持つ黒の１/１のスケルトン・クリーチャーになる。 それは土地でもある。 #（それが再生する場合、このターン、次にこそれが破壊される場合、破壊されない。 代わりに、それをタップし、それに与えられているダメージをすべて取り除き、それを戦闘から取り除く。）#"
Ghitu Encampment,ギトゥの宿営地,土地,"ギトゥの宿営地はタップ状態で場に出る。
{T}：あなたのマナ・プールに{R}を加える。
{1}{R}：ギトゥの宿営地は、ターン終了時まで先制攻撃を持つ赤の２/１の戦士クリーチャーになる。 それは土地でもある。 #（それは先制攻撃を持たないクリーチャーよりも先に戦闘ダメージを与える。）#"
Mimeofacture,複写作成,ソーサリー,"複製 {3}{U} #（あなたがこの呪文をプレイするとき、あなたが複製コストを支払った回数に等しい数だけそれをコピーする。 あなたはそのコピーの新しい対象を選んでもよい。）#
いずれかの対戦相手がコントロールするパーマネント１つを対象とする。 そのプレイヤーのライブラリーからそれと同じ名前のカードを１枚探し、それをあなたのコントロール下で場に出す。 その後、そのプレイヤーは自分のライブラリーを切り直す。"
Streetbreaker Wurm,通り砕きのワーム,クリーチャー ― ワーム,
