Lumengrid Warden,9ED,그의 동배는 어두운 첨탑 속에 봉인되어 있는 고대 서적에서 지식을 끌어낸다. 그는 수은해를 감시하며 보내게 되는 고독한 일생 속에서 지식을 탐구한다.
Thought Courier,9ED,"“자네가 원하는 욕망을 채워줄 물건들이 여기 다 있다네. 심오한 것에, 무상한 것. 부정한 것에 순수한 것. 과학적인 것에 철학적인 것. 이후의 것에 이전의 것조차도.  대가만 치르게나.”"
Air Elemental,9ED,부디 허파에 들지 않기를.
Bog Imp,9ED,날개 달린 푸줏간 칼이라고나 할까.
Chastise,9ED,"“왜 조상님에게 기도를 드리냐고요? 그야 들어주시기 때문이지요.”
—신비교 장로"
Dark Banishing,9ED,"“뭣이, 유형? 자비를 베풀게나. 내게 '죽음'을 달라고.
추방은 내게 죽음보다 더 공포스러운 면상을
드러내고 있다네.”
—윌리엄 셰익스피어, #로미오와 줄리엣#"
Eager Cadet,9ED,"훈련? 내 곡물이 불길에 휩싸여 재로 변하는 광경이야말로 내 유일한 훈련이었지."
Fugitive Wizard,9ED,라트남 대학은 너무 위험하거나 너무 잔인한 실험에 몰두한 학생을 종종 퇴학시키고는 한다.
Giant Cockroach,9ED,"토렌은 살아오면서 많은 벌레를 밟고 다녀서인지, 자신이 벌레에게 밟히는 순간의 당혹감은 말로 형용할 수가 없었다."
Giant Octopus,9ED,"“바로 내 눈 앞에, 괴이한 전설에나 나올 법한 끔찍한 괴물이 . . . 그 머리에는 긴 몸통보다 두 배나 긴 여덟 개의 팔 . . 아니, 발이 복수의 여신의 머리칼처럼 엉켜 있었지.”
—쥘 베른, #해저 2만리,# 루이스 역"
Glory Seeker,9ED,전세의 전환은 언제나 전장으로 되돌아가려는 한 병사의 결심과 함께 시작된다.
Grizzly Bears,9ED,"도미나리아의 회색곰에게서 내뺄 생각은 하지도 말아라. 이놈은 너를 잡아서 때려눕히고 먹어치울 것이다. 물론, 나무 위로 도망가는 수도 있다. 그런 경우에는 좋은 경치를 구경할 수는 있겠지만, 곧 이놈은 나무를 때려눕히고 너를 먹어치울 것이다."
Hill Giant,9ED,"다행히도, 언덕 거인에게는 인간이 쉽게 숨을 수 있는 맹점이 있다. 불행히도, 그 맹점은 거인의 발 바로 밑이다."
Honor Guard,9ED,하나의 힘. 열의 용기.
Lava Axe,9ED,"걸렸어!"
Looming Shade,9ED,"암흑 속에서 서식, 악몽 속에서 번식."
Mind Rot,9ED,"“정신 공격의 미학은 피해자가 이를 절대 기억하지 못한다는 것이다.”
#—볼라스#"
Naturalize,9ED,"“어디 보자, 이것도 아주 멋진 화분이 되겠구먼 . . .”
—아컴 다그슨, 솔데비 기계공"
Norwood Ranger,9ED,"숲의 노래는 완벽한 화성을 자아낸다. 하나의 음표라도 제자리를 잃는다면, 엘프들이 그 출처를 찾아낼 것이다."
Ogre Taskmaster,9ED,"작은 고블린 세 마리가 즐겁게 술을 마시고 있었다. 한 마리가 오거와 부딪치자, 이제 두 마리만 남게 되었다."
Pacifism,9ED,그라크는 난생 처음으로 작으나마 따스함과 포근함을 느꼈다.
Rampant Growth,9ED,자연은 스스로의 문제에 대한 해결책을 기른다.
Remove Soul,9ED,병사를 거절당함은 곧 승리를 거절당함이다.
Rod of Ruin,9ED,이 로드는 고대 시대부터 내려오는 유물이다. . . 잔인하고 부도덕하고 비열한 시대부터.
Sacred Nectar,9ED,"“저 은빛 산 넘어,
화밀 분수가 솟아나는 곳,
     이 몸은 그 곳에서
     천복의 사발에 입을 맞추리;
그리고 영원의 갈증을 해소하리라. . . .”
—월터 롤리 경, “순례 여행”"
Scathe Zombies,9ED,"“그것들은 신음하고 꿈틀거리며 하나같이 일어섰지.
아무런 말도 없이 눈동자조차 움직이지 않았어.
꿈에서조차도 기이할 그 광경을,
죽은 사람이 일어나는 그 광경을 보고 말았네.”
—사뮤엘 테일러 콜리지,
“늙은 선원의 노래”"
Shock,9ED,"“일전에 뇌우를 보고 고함치는 고블린을 본 적이 있었지. 바로 끝나더군.”
—떠돌이 메이지"
Soul Feast,9ED,나는 나를 먹고 산다.
Storm Crow,9ED,폭풍 까마귀가 내려앉으면 겨울의 연속. 폭풍 까마귀가 날아오르면 여름의 시작.
Suntail Hawk,9ED,"이글거리는 태양과 같은 눈에, 통곡하는 바람과 같은 울부짖음."
Trained Armodon,9ED,아르모돈은 물건을 밟도록 훈련받는다. 적군의 물건이라면 무엇이든.
Vengeance,9ED,"쑥처럼 쓴 맛에, 와인처럼 단 맛."
Volcanic Hammer,9ED,불은 용광로의 열기 속에서 진정한 모습을 찾는다.
Wind Drake,9ED,"“높은 하늘과 빛 속을 가르는 그 자태는
느릿느릿한 지상의 모든 것을 초월하고,
지상과의 고리를 스스럼 없이 끊어버린,
그림자 또한 그녀의 앞길을 흐리지 않으리.”
—토마스 무어, “나에게 날개가 있다면”"
