Mimeofacture,Mimeotização,Feitiço,"Replicar {3}{U} #(Quando você jogar esta mágica, faça uma cópia dela para cada vez que tiver pago seu custo de replicação. Você pode escolher novos alvos para as cópias.)#
Escolha a permanente alvo que um oponente controla. Procure no grimório daquele jogador por um card com o mesmo nome e coloque-o em jogo sob o seu controle. Depois, aquele jogador embaralha seu próprio grimório."
Streetbreaker Wurm,Vorme Arrebenta-Rua,Criatura — Vorme,
Giant Solifuge,Solífugo Gigante,Criatura — Inseto,"#({RG} pode ser pago com {R} ou {G}.)#
Atropelar, ímpeto
Solífugo Gigante não pode ser alvo de mágicas nem de habilidades."
Sacred Mesa,Meseta Sagrada,Encantamento,"No início de sua manutenção, sacrifique Meseta Sagrada, a menos que você sacrifique um Pégaso.
{1}{W}: Coloque em jogo uma ficha de criatura branca 1/1 do tipo Pégaso com a habilidade de voar."
Valor,Valor,Criatura — Encarnação,"Iniciativa
Enquanto Valor estiver em seu cemitério e você controlar uma planície, as criaturas que você controla têm iniciativa."
Chronatog Totem,Totem Cronatogue,Artefato,"{T}: Adicione {U} à sua reserva de mana.
{1}{U}: Totem Cronatogue torna-se uma criatura artefato azul 1/2 do tipo Atogue até o final do turno.{0}: Totem Cronatogue recebe +3/+3 até o final do turno.
 Você pula seu próximo turno. Use esta habilidade apenas uma vez a cada turno e somente se Totem Cronatogue for uma criatura."
Dandan,Dandã,Criatura — Peixe,"Dandã não pode atacar, a menos que o jogador defensor controle uma Ilha.
Quando você não controlar nenhuma Ilha, sacrifique Dandã."
Tendrils of Corruption,Gavinhas da Corrupção,Mágica Instantânea,"Gavinhas da Corrupção causa X pontos de dano à criatura alvo e você ganha X pontos de vida, sendo X igual ao número de Pântanos que você controla."
Disintegrate,Desintegrar,Feitiço,"Desintegrar causa X pontos de dano à criatura alvo ou ao jogador alvo. Aquela criatura não pode ser regenerada neste turno. Se a criatura seria colocada num cemitério neste turno, em vez disso, remova-a de jogo."
Stormscape Familiar,Familiar de Stormscape,Criatura — Ave,"Voar
As mágicas brancas e as mágicas pretas que você jogar custarão {1} a menos para jogar."
Sengir Autocrat,Autocrata de Sengir,Criatura — Humano,"Quando Autocrata de Sengir entrar em jogo, coloque em jogo três fichas de criatura pretas 0/1 do tipo Servo.
Quando Autocrata de Sengir deixar o jogo, remova do jogo todas as fichas do tipo Servo."
Celestial Dawn,Aurora Celestial,Encantamento,"Os terrenos que você controla são Planícies.
Os seus cards que não sejam terrenos e que não estejam em jogo, as mágicas que você controla e as permanentes que não sejam terrenos e que você controla são brancos
Você pode usar mana branco como se fosse mana de qualquer cor. Você só pode usar outro mana como se fosse mana incolor."
Lord of Atlantis,Senhor da Atlântida,Criatura — Senhor Tritão,Todos os outros Tritões recebem +1/+1 e ganham travessia de ilha.
Savage Thallid,Talídia Selvagem,Criatura — Fungo,"No início de sua manutenção, coloque um marcador de esporo sobre Talídia Selvagem.
Remova três marcadores de esporo de Talídia Selvagem: Coloque em jogo uma ficha de criatura verde 1/1 do tipo Saprófita.
Sacrifique um Saprófita: Regenere o Fungo alvo."
Soul Collector,Colecionador de Almas,Criatura — Vampiro,"Voar
Toda vez que uma criatura que sofreu dano causado por Colecionador de Almas for colocada num cemitério, devolva aquele card para o jogo sob seu controle.
Metamorfose {B}{B}{B} #(Você pode jogar este card com a face voltada para baixo como uma criatura 2/2 por {3}. Vire sua face para cima a qualquer momento pagando seu custo de metamorfose.)#"
"Akroma, Angel of Wrath","Akroma, Anjo da Ira",Criatura Lendária — Anjo,"Voar, iniciativa, vigilância, atropelar, ímpeto, proteção contra o preto, proteção contra o vermelho"
Orgg,Orgg,Criatura — Orgg,"Atropelar
Orgg não pode atacar se o jogador defensor controlar uma criatura desvirada com poder maior ou igual a 3.
Orgg não pode bloquear criaturas com poder maior ou igual a 3."
Essence Sliver,Fractius da Essência,Criatura — Fractius,"Toda vez que um Fractius causar dano, seu controlador ganhará aquela quantidade de dano em pontos de vida."
Watcher Sliver,Fractius Observador,Criatura — Fractius,Todos os Fractius recebem +0/+2.
Scragnoth,Scragnoth,Criatura — Besta,"Scragnoth não pode ser anulado.
Proteção contra o azul"
Whispers of the Muse,Sussurros da Musa,Mágica Instantânea,"Recuperar {5} #(Você pode pagar um custo adicional de {5} ao jogar esta mágica. Se fizer isso, coloque este card em sua mão quando for resolvido.)#
Compre um card."
Foriysian Interceptor,Interceptador Foriysiano,Criatura — Soldado Humano,"Lampejo #(Você poderá jogar esta mágica a qualquer momento em que puder jogar uma mágica instantânea.)#
Defensor
Interceptador Foriysiano pode bloquear uma criatura adicional."
Flowstone Channeler,Canalizador de Rochafluente,Criatura — Magimodelador Humano,"{1}{R}, {T}, Descarte um card: A criatura alvo recebe +1/-1 e recebe ímpeto até o final do turno."
Temporal Isolation,Isolação Temporal,Encantamento — Aura,"Lampejo #(Você poderá jogar esta mágica a qualquer momento em que puder jogar uma mágica instantânea.)#
Encantar Criatura
A criatura encantada tem sombra. #(Ele só pode bloquear ou ser bloqueado por criaturas com sombra.)#
Previna todo o dano que seria causado pela criatura encantada."
Swamp Mosquito,Mosquito do Pântano,Criatura — Inseto,"Voar
Toda vez que Mosquito do Pântano atacar e não for bloqueado, o jogador defensor receberá um marcador de veneno. #(Um jogador com dez ou mais marcadores de veneno perde o jogo.)#"
Pull from Eternity,Arrancar da Eternidade,Mágica Instantânea,Coloque o card alvo com a face voltada para cima que foi removido do jogo no cemitério de seu dono.
Mana Skimmer,Escumadeira de Mana,Criatura — Sanguessuga,"Voar
Toda vez que Escumadeira de Mana causar dano a um jogador, vire o terreno alvo que aquele jogador controla. Ele não pode ser desvirado durante a próxima etapa de desvirar de seu controlador."
Wall of Roots,Barreira de Raízes,Criatura — Barreira Planta,"Defensor
Coloque um marcador -0/-1 sobre Barreira de Raízes: Adicione {G} à sua reserva de mana. Use esta habilidade apenas uma vez a cada turno."
Kobold Taskmaster,Capataz Kobold,Criatura — Kobold,Os outros Kobolds que você controla recebem +1/+0.
Auratog,Auratogue,Criatura — Atogue,Sacrifique um encantamento: Auratogue recebe +2/+2 até o final do turno.
Crookclaw Transmuter,Transmutador de Garras Curvas,Criatura — Mago Pássaro,"Lampejo #(Você poderá jogar esta mágica a qualquer momento em que puder jogar uma mágica instantânea.)#
Voar
Quando Transmutador de Garras Curvas entrar em jogo, permute o poder e a resistência da criatura alvo até o final do turno."
Witch-Maw Nephilim,Nefilim Bucho de Bruxo,Criatura — Nefilim,"Toda vez que você joga uma mágica, você pode colocar dois marcadores +1/+1 em Nefilim Bucho de Bruxo.
Toda vez que Nefilim Bucho de Bruxo ataca, ele ganha a habilidade de atropelar até o final do turno, se o seu poder for maior ou igual a 10."
Dune-Brood Nephilim,Nefilim Desova-Duna,Criatura — Nefilim,"Toda vez que Nefilim Desova-Duna causar dano de combate a um jogador, coloque em jogo uma ficha de criatura incolor 1/1 do tipo Areia para cada terreno que você controla."
Ink-Treader Nephilim,Nefilim Rastro de Tinta,Criatura — Nefilim,"Toda vez que um jogador jogar uma mágica instantânea ou de feitiço, se Nefilim Rastro de Tinta for o único alvo daquela mágica, copie a mágica para cada criatura que aquela mágica poderia ter como alvo. Cada cópia tem uma criatura diferente como alvo."
