Reya Dawnbringer,10E,“Você não morreu até que eu consinta.”
"Kamahl, Pit Fighter",10E,"Quando a liberdade parece estar perdida, as grandes almas ressurgem para recuperá-la."
Arcanis the Omnipotent,10E,"“Não se preocupe com a minha origem, minha raça ou meus antepassados. Busque minha reputação nas liças e então faça sua aposta.”"
"Squee, Goblin Nabob",10E,"“Alguns goblins são descartáveis. De outros é impossível se livrar. Mas ele é as duas coisas — ao mesmo tempo!”
— Starke"
Ascendant Evincar,10E,"Com sua alma capturada pela maldição de um anjo, Crovax deformou o heroísmo na sua mais absoluta sombra."
Platinum Angel,10E,Em seu coração mora o segredo da imortalidade.
Arcane Spyglass,DST,"Ela não rompe as distâncias físicas, mas sim as temporais."
Lovisa Coldeyes,CSP,“Conduzirei minha horda ao noroeste. Não voltarei até que os magos do gelo tenham sido derrotados e seus instrumentos perversos destruídos!”
Deathmark,CSP,"“Espero que seja verdade que todo floco de neve é único, porque não quero ver um como esse nunca mais. Agora limpe aquele corpo.”
—Thangbrand Gyrdsson, patrulha kjeldorano"
Coldsteel Heart,CSP,"As máquinas mortíferas phyrexianas despertaram, seus corações de aço gélido impregnando-os com uma nova força maligna."
Tresserhorn Sinks,CSP,"“Nossa terra oprimida pelo Frio silencioso,
Nós, infelizes coitados, o jovem e o idoso,
Oramos para que a Primavera nos liberte deste vínculo abominoso.”
#—A Dinastia dos Reis do Inverno#"
Phyrexian Ironfoot,CSP,Foram necessários vários dias para que os cultistas Vento-Gélido percebessem que haviam ativado a criatura — ela simplesmente não queria se mover.
Martyr of Bones,CSP,"Como marionetes na mão álgida de Heidar, eles foram sacrificados ao Pântano do Gelo para dar origem ao exército de Haakon."
Frost Raptor,CSP,Os magos Vento-Gélido esforçaram-se em perpetuar um inverno mágico. Sua neve antinatural deu origem a bestas antinaturais.
Gristle Grinner,CSP,"“Lá estava ele, arranhando o gelo enquanto rangia seus dentes. Fugimos apavorados antes que ele escavasse sua horripilante refeição.”
—Aevar Borg, guia do norte, diário"
Rimebound Dead,CSP,"“Tresserhorn agora é nossa. Escavem o lago e tragam todos os ossos que encontrarem. Construiremos um novo exército, como Terisiare jamais viu.”
—Heidar, mestre Vento-Gélido, para Haakon"
Feast of Flesh,CSP,"“Matar de fome um exército que se alimenta de seus inimigos é uma excelente estratégia.”
—Garza Zol, rainha da praga"
