"Molimo, Maro-Sorcerer","Molimo, Feiticeiro-Maro",Criatura Lendária — Elemental,"Atropelar #(Se esta criatura fosse causar dano de combate suficiente para destruir seus bloqueadores, você pode fazer com que ela cause o resto de seu dano ao jogador defensor.)#
O poder e a resistência de Molimo, Feiticeiro-Maro, são ambos iguais ao número de terrenos que você controla."
Reya Dawnbringer,"Reya, Portadora da Alvorada",Criatura Lendária — Anjo,"Voar #(Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)#
No início de sua manutenção, você pode devolver o card de criatura alvo de seu cemitério para o jogo."
"Kamahl, Pit Fighter","Kamahl, Lutador da Liça",Criatura — Bárbaro Lenda,"Ímpeto
{T}: Kamahl, Lutador da Liça causa 3 pontos de dano à criatura alvo ou ao jogador alvo."
"Mirri, Cat Warrior","Mirri, Felina Guerreira",Criatura Lendária — Felino Guerreiro,"Iniciativa, travessia de floresta, vigilância #(Esta criatura causa dano de combate antes de criaturas que não tenham iniciativa, não pode ser bloqueada enquanto o jogador defensor controlar uma Floresta, e esta criatura não é virada para atacar.)#"
Arcanis the Omnipotent,"Arcanis, o Onipotente",Criatura Lendária — Mago,"{T}: Compre três cards.
{2}{U}{U}: Devolva Arcanis, o Onipotente, para a mão de seu dono."
Phage the Untouchable,"Phage, a Intocável",Criatura Lendária — Assecla,"Quando Phage, a Intocável, entra em jogo, se você não a tiver jogado de sua mão, você perde o jogo.
Toda vez que Phage causar dano de combate a uma criatura, destrua aquela criatura. Ela não pode ser regenerada.
Toda vez que Phage causa dano de combate a um jogador, aquele jogador perde o jogo."
Forbidding Watchtower,Torre de Vigia Portentosa,Terreno,"Torre de Vigia Portentosa entra em jogo virado.
{T}: Adicione {W} à sua reserva de mana.
{1}{W}: Torre de Vigia Portentosa torna-se uma criatura branca 1/5 do tipo Soldado até o final do turno. Ela ainda conta como um terreno."
Treetop Village,Aldeia nas Copas,Terreno,"Aldeia nas Copas entra em jogo virado.
{T}: Adicione {G} à sua reserva de mana.
{1}{G}: Aldeia nas Copas torna-se uma criatura verde 3/3 do tipo Símio com atropelar até o final do turno. Ela ainda conta como um terreno. #(Se ela fosse causar dano de combate suficiente para destruir seus bloqueadores, você pode fazer com que ela cause o resto de seu dano ao jogador defensor.)#"
"Squee, Goblin Nabob","Squee, Nabobo Goblin",Criatura Lendária — Goblin,"No início de sua manutenção, você pode devolver Squee, Nabobo Goblin de seu cemitério para sua mão."
Jayemdae Tome,Livro de Jayemdae,Artefato,"{4}, {T}: Compre um card."
Rhox,Rhox,Criatura — Besta,"Você pode fazer com que Rhox cause seu dano de combate ao jogador defensor como se não tivesse sido bloqueado.
{2}{G}: Regenere Rhox. #(Na próxima vez em que esta criatura seria destruída neste turno, ela não será. Em vez disso, vire-a, remova todo o dano dela e remova-a do combate.)#"
Ascendant Evincar,Evincar Ascendente,Criatura Lendária — Vampiro,"Voar #(Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)#
As outras criaturas pretas recebem +1/+1.
As criaturas que não sejam pretas recebem -1/-1."
Faerie Conclave,Conclave Feérico,Terreno,"Conclave Feérico entra em jogo virado.
{T}: Adicione {U} à sua reserva de mana.
{1}{U}: Conclave Feérico torna-se uma criatura azul 2/1 do tipo Fada com a habilidade de voar até o final do turno. Ela ainda conta como um terreno. #(Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)#"
Platinum Angel,Anjo de Platina,Criatura Artefato — Anjo,"Voar
Você não pode perder o jogo e seus oponentes não podem vencê-lo."
Razormane Masticore,Mastícora de Juba Cortante,Criatura Artefato,"Iniciativa
No início de sua manutenção, sacrifique Mastícora de Juba Cortante a menos que você descarte um card de sua mão.
No início de sua etapa de compra, você pode fazer com que Mastícora de Juba Cortante cause 3 pontos de dano à criatura alvo."
March of the Machines,Marcha das Máquinas,Encantamento,Cada artefato que não for uma criatura torna-se uma criatura artefato com poder e resistência ambos iguais ao seu custo de mana convertido. #(Um Equipamento que seja uma criatura não pode equipar criaturas.)#
Spawning Pool,Lagoa de Procriação,Terreno,"Lagoa de Procriação entra em jogo virado.
{T}: Adicione {B} à sua reserva de mana.
{1}{B}: Lagoa de Procriação torna-se uma criatura preta 1/1 do tipo Esqueleto com “{B}: Regenere esta criatura” até o final do turno. Ela ainda conta como um terreno. #(Se ela se regenerar, na próxima vez em que seria destruída neste turno, ela não será. Em vez disso, vire-a, remova todo o dano dela e remova-a do combate.)#"
Ghitu Encampment,Acampamento Ghitu,Terreno,"Acampamento Ghitu entra em jogo virado.
{T}: Adicione {R} à sua reserva de mana.
{1}{R}: Acampamento Ghitu torna-se uma criatura vermelha 2/1 do tipo Guerreiro com iniciativa até o final do turno. Ela ainda conta como um terreno. #(Ela causa dano antes de criaturas sem a habilidade de iniciativa.)#"
Arcane Spyglass,Luneta Arcana,Artefato,"{2}, {T}, Sacrifique um terreno: Compre um card e coloque um marcador de carga em Luneta Arcana.
Remova três marcadores de carga de Luneta Arcana: Compre um card."
Lovisa Coldeyes,Lovisa Coldeyes,Criatura Lendária — Senhor Humano,"Bárbaros, Guerreiros e Amoques recebem +2/+2 e têm ímpeto."
Deathmark,Mancha da Morte,Feitiço,Destrua a criatura alvo verde ou branca.
Phyrexian Etchings,Entalhes Phyrexianos,Encantamento,"Manutenção cumulativa {B} #(No início de sua manutenção, coloque um marcador de tempo nessa permanente e então a sacrifique, a menos que você pague seu custo de manutenção para cada marcador de tempo sobre ela.)#
No final de seu turno, compre um card para cada marcador de tempo sobre Entalhes Phyrexianos.
Quando Entalhes Phyrexianos é colocado no cemitério vindo do jogo, você perde 2 pontos de vida para cada marcador de tempo sobre ele."
Coldsteel Heart,Coração de Aço Gélido,Artefato da Neve,"Coração de Aço Gélido entra em jogo virado.
Conforme Coração de Aço Gélido entra em jogo, escolha uma cor.
{T}: Adicione um mana da cor escolhida à sua reserva de mana."
Tresserhorn Sinks,Fossas de Tresserhorn,Terreno da Neve,"Fossas de Tresserhorn entra em jogo virado.
{T}: Adicione {B} ou {R} à sua reserva de mana."
"Garza Zol, Plague Queen","Garza Zol, Rainha da Praga",Criatura Lendária — Vampiro,"Voar, ímpeto
Toda vez que uma criatura que tenha sofrido dano causado por Garza Zol, Rainha da Praga, neste turno for colocada num cemitério, coloque um marcador +1/+1 sobre Garza Zol.
Toda vez que Garza Zol causa dano de combate a um jogador, você pode comprar um card."
Phyrexian Ironfoot,Pé-de-Ferro Phyrexiano,Criatura Artefato da Neve — Constructo,"Pé-de-Ferro Phyrexiano não desvira durante sua etapa de desvirar.
{1}{S}: Desvire Pé-de-Ferro Phyrexiano. #({S} pode ser pago com um mana de uma permanente da neve.)#"
Void Maw,Bucho Vazio,Criatura — Horror,"Atropelar
Se outra criatura fosse ser colocada num cemitério neste turno, em vez disso, remova-a de jogo.
Coloque um card removido do jogo com Bucho Vazio no cemitério de seu dono: Bucho Vazio recebe +2/+2 até o final do turno."
Snow-Covered Island,Ilha da Neve,Terreno Básico da Neve — Ilha,
Martyr of Bones,Mártir dos Ossos,Criatura — Mago Humano,"{1}, Revele X cards pretos de sua mão, Sacrifique Mártir dos Ossos: Remova do jogo até X cards alvo em um único cemitério."
Frost Raptor,Raptor Congelado,Criatura da Neve — Ave,"Voar
{S}{S}: Raptor Congelado não pode ser alvo de mágicas nem de habilidades neste turno. #({S} pode ser pago com um mana de uma permanente da neve.)#"
Gristle Grinner,Sorriso Cartilaginoso,Criatura — Zumbi,"Toda vez que uma criatura for colocada num cemitério vinda do jogo, Sorriso Cartilaginoso recebe +2/+2 até o final do turno."
Rimebound Dead,Morto Manto-Gélido,Criatura da Neve — Esqueleto,{S}: Regenere Morto Manto-Gélido. #({S} pode ser pago com um mana de uma permanente da neve.)#
Feast of Flesh,Banquete de Carne,Feitiço,"Banquete de Carne causa X pontos de dano à criatura alvo e você ganha X pontos de vida, onde X é igual a 1 mais o número de cards com o nome Banquete de Carne em todos os cemitérios."
