"Molimo, Maro-Sorcerer","Molimo, hechicero maro",Criatura legendaria — Elemental,"Arrolla. #(Si esta criatura fuera a hacer suficiente daño de combate a sus bloqueadores como para destruirlos, puedes hacer que le haga el resto del daño al jugador defensor.)#
Tanto la fuerza como la resistencia de Molimo, hechicero maro son iguales al número de tierras que controles."
Reya Dawnbringer,Reya Portaalba,Criatura legendaria — Ángel,"Vuela. #(Esta criatura no puede ser bloqueada excepto por criaturas que tengan la habilidad de volar o alcance.)#
Al comienzo de tu mantenimiento, puedes regresar al juego una carta objetivo de criatura de tu cementerio."
"Kamahl, Pit Fighter","Kamahl, luchador del foso",Criatura — Bárbaro legendario,"Prisa.
{T}: Kamahl, luchador del foso hace 3 puntos de daño a la criatura o jugador objetivo."
"Mirri, Cat Warrior","Mirri, guerrera felina",Criatura legendaria — Guerrero felino,"Daña primero, cruza bosques, vigilancia. #(Esta criatura hace daño de combate antes que las criaturas sin la habilidad de dañar primero, es imbloqueable mientras el jugador defensor controle un bosque, y no se gira al atacar.)#"
Arcanis the Omnipotent,Arcanis el omnipotente,Criatura legendaria — Hechicero,"{T}: Roba tres cartas.
{2}{U}{U}: Regresa a Arcanis el omnipotente a la mano de su propietario."
Phage the Untouchable,Phage la Intocable,Criatura legendaria — Sicario,"Cuando Phage la Intocable entre en juego, si no la jugaste de tu mano, pierdes el juego.
Siempre que Phage haga daño de combate a una criatura, destruye esa criatura. No puede ser regenerada.
Siempre que Phage haga daño de combate a un jugador, ese jugador pierde el juego."
Forbidding Watchtower,Atalaya prohibitoria,Tierra,"El Atalaya prohibitoria entra en juego girada.
{T}: Agrega {W} a tu reserva de maná.
{1}{W}: El Atalaya prohibitoria se convierte en una criatura Soldado blanca 1/5 hasta el final del turno. Sigue siendo una tierra."
Treetop Village,Aldea en las copas,Tierra,"La Aldea en las copas entra en juego girada.
{T}: Agrega {G} a tu reserva de maná.
{1}{G}: La Aldea en las copas se convierte en una criatura Simio verde 3/3 con la habilidad de arrollar hasta el final del turno. Sigue siendo una tierra. #(Si fuera a hacer suficiente daño de combate a sus bloqueadores como para destruirlos, puedes hacer que le haga el resto del daño al jugador defensor.)#"
"Squee, Goblin Nabob","Squee, trasgo nabab",Criatura legendaria — Trasgo,"Al comienzo de tu mantenimiento, puedes regresar a Squee, trasgo nabab de tu cementerio a tu mano."
Jayemdae Tome,Volumen de Jayemdae,Artefacto,"{4}, {T}: Roba una carta."
Rhox,Rhox,Criatura — Bestia,"Puedes hacer que el Rhox haga su daño de combate al jugador defensor como si no hubiera sido bloqueado.
{2}{G}: Regenera al Rhox. #(La próxima vez que esta criatura fuera a ser destruida este turno, no lo es. En vez de eso, gírala, remueve todo el daño de ella y remuévela del combate.)#"
Ascendant Evincar,Évincar predominante,Criatura legendaria — Vampiro,"Vuela. #(Esta criatura no puede ser bloqueada excepto por criaturas que tengan la habilidad de volar o alcance.)#
Las otras criaturas negras obtienen +1/+1.
Las criaturas que no sean negras obtienen -1/-1."
Faerie Conclave,Cónclave de hadas,Tierra,"El Cónclave de hadas entra en juego girado.
{T}: Agrega {U} a tu reserva de maná.
{1}{U}: El Cónclave de hadas se convierte en una criatura Hada azul 2/1 con la habilidad de volar hasta el final del turno. Sigue siendo una tierra. #(No puede ser bloqueada excepto por criaturas que tengan la habilidad de volar o alcance.)#"
Platinum Angel,Ángel de platino,Criatura artefacto — Ángel,"Vuela.
Tú no puedes perder el juego y tus oponentes no pueden ganar el juego."
Razormane Masticore,Masticore melena de navajas,Criatura artefacto,"Daña primero.
Al comienzo de tu mantenimiento, sacrifica la Masticore melena de navajas a menos que descartes una carta de tu mano.
Al comienzo de tu paso de robar, puedes hacer que la Masticore melena de navajas le haga 3 puntos de daño a la criatura objetivo."
