Academy at Tolaria West,HOP,Art,Plane — Dominaria,,,C,,"At the beginning of your end step, if you have no cards in hand, draw seven cards.
Whenever you roll {C}, discard your hand.",,James Paick,1\40
Agyrem,HOP,Art,Plane — Ravnica,,,C,,"Whenever a white creature is put into a graveyard from the battlefield, return it to the battlefield under its owner`s control at the beginning of the next end step.
Whenever a nonwhite creature is put into a graveyard from the battlefield, return it to its owner`s hand at the beginning of the next end step.
Whenever you roll {C}, creatures can`t attack you until a player planeswalks.",,Todd Lockwood,3\40
Bant,HOP,Art,Plane — Alara,,,C,,"All creatures have exalted. #(Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)#
Whenever you roll {C}, put a divinity counter on target green, white, or blue creature. That creature is indestructible as long as it has a divinity counter on it.",,Michael Komarck,4\40
Cliffside Market,HOP,Art,Plane — Mercadia,,,C,,"When you planeswalk to Cliffside Market or at the beginning of your upkeep, you may exchange life totals with target player.
Whenever you roll {C}, exchange control of two target permanents that share a card type.",,Matt Stewart,5\40
Eloren Wilds,HOP,Art,Plane — Shandalar,,,C,,"Whenever a player taps a permanent for mana, that player adds one mana to his or her mana pool of any type that permanent produced.
Whenever you roll {C}, target player can`t cast spells until a player planeswalks.",,Darrell Riche,7\40
Feeding Grounds,HOP,Art,Plane — Muraganda,,,C,,"Red spells cost {1} less to cast.
Green spells cost {1} less to cast.
Whenever you roll {C}, put X +1/+1 counters on target creature, where X is that creature`s converted mana cost.",,Matt Stewart,9\40
Fields of Summer,HOP,Art,Plane — Moag,,,C,,"Whenever a player casts a spell, that player may gain 2 life.
Whenever you roll {C}, you may gain 10 life.",,Daniel Ljunggren,10\40
Glimmervoid Basin,HOP,Art,Plane — Mirrodin,,,C,,"Whenever a player casts an instant or sorcery spell with a single target, he or she copies that spell for each other spell, permanent, card not on the battlefield, and/or player the spell could target. Each copy targets a different one of them.
Whenever you roll {C}, choose target creature. Each player except that creature`s controller puts a token that`s a copy of that creature onto the battlefield.",,Lars Grant-West,12\40
Goldmeadow,HOP,Art,Plane — Lorwyn,,,C,,"Whenever a land enters the battlefield, that land`s controller puts three 0/1 white Goat creature tokens onto the battlefield.
Whenever you roll {C}, put a 0/1 white Goat creature token onto the battlefield.",,Warren Mahy,13\40
Grixis,HOP,Art,Plane — Alara,,,C,,"Blue, black, and/or red creature cards in your graveyard have unearth. The unearth cost is equal to the card`s mana cost. #(Pay the card`s mana cost: Return it to the battlefield. The creature gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)#
Whenever you roll {C}, put target creature card in a graveyard onto the battlefield under your control.",,Nils Hamm,15\40
Immersturm,HOP,Art,Plane — Valla,,,C,,"Whenever a creature enters the battlefield, that creature`s controller may have it deal damage equal to its power to target creature or player of his or her choice.
Whenever you roll {C}, exile target creature, then return it to the battlefield under its owner`s control.",,Raymond Swanland,17\40
Isle of Vesuva,HOP,Art,Plane — Dominaria,,,C,,"Whenever a nontoken creature enters the battlefield, its controller puts a token onto the battlefield that`s a copy of that creature.
Whenever you roll {C}, destroy target creature and all other creatures with the same name as that creature.",,Zoltan Boros & Gabor Szikszai,18\40
Izzet Steam Maze,HOP,Art,Plane — Ravnica,,,C,,"Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy.
Whenever you roll {C}, instant and sorcery spells you cast this turn cost {3} less to cast.",,Franz Vohwinkel,19\40
Krosa,HOP,Art,Plane — Dominaria,,,C,,"All creatures get +2/+2.
Whenever you roll {C}, you may add {W}{U}{B}{R}{G} to your mana pool.",,Steven Belledin,20\40
Lethe Lake,HOP,Art,Plane — Arkhos,,,C,,"At the beginning of your upkeep, put the top ten cards of your library into your graveyard.
Whenever you roll {C}, target player puts the top ten cards of his or her library into his or her graveyard.",,Chris J. Anderson,21\40
